,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,method,year,filetype
0,LA,141.43541876892027,158.29538820782255,173.7496760818865,180021.0,1243.8636062093672,170.31213356445718,67.7115987460815,92.63636914326605,PER_DIEM_wage_adj,8581.496888047455,estimated_allowed_amount_B,2013,max
0,MA,,,,,,,,,,,file_unavailable,2013,max
0,MD,224.87,237.67,254.0,190859.0,2139.0,270.5102552145825,138.0,172.1017285112915,PER_DIEM,29619.00495657429,estimated_allowed_amount_C,2013,max
0,MD,226.78836765018042,243.49209957940204,263.5064551098847,199226.0,2431.5107422985106,277.56726388155715,129.128848133246,176.8850534817521,PER_DIEM_wage_adj,31288.3221452423,estimated_allowed_amount_C,2013,max
0,ME,,,,,,,,,,,no_valid_method,2013,max
0,MI,169.71,189.61,205.52,259409.0,1375.5,202.37527633967983,88.74,94.83032469080258,PER_DIEM,8992.790480963042,estimated_allowed_amount_C,2013,max
0,MI,186.2167640395851,210.2533532041729,237.90389889114104,262689.0,1669.9040912953747,227.11598661980585,78.8309496313405,105.90326776505798,PER_DIEM_wage_adj,11215.502123317568,estimated_allowed_amount_C,2013,max
0,MO,143.53,151.45,158.42,283112.0,2378.5,173.96495711944388,57.58,91.10984587626716,PER_DIEM,8301.004015597155,estimated_allowed_amount_C,2013,max
0,MO,162.89808917197453,176.33167147730256,194.08291786932566,286709.0,2473.9962554607864,202.88662703965917,65.2277928021635,107.94533938442567,PER_DIEM_wage_adj,11652.196294818837,estimated_allowed_amount_C,2013,max
0,MS,176.32,187.81,203.16,160338.0,627.5,199.07461749554068,30.72,62.669229422990156,PER_DIEM,3927.4323164713755,estimated_allowed_amount_C,2013,max
0,MS,225.44943133178427,241.6213347485737,259.9310070319756,160579.0,832.5593737561363,255.52478226793772,40.75892264826854,80.59137269080023,PER_DIEM_wage_adj,6494.9693521874615,estimated_allowed_amount_C,2013,max
0,MT,162.4,164.13,165.71,30335.0,1284.25,170.32227954507994,37.68,43.901202263403256,PER_DIEM,1927.315560172243,estimated_allowed_amount_C,2013,max
0,MT,187.37209302325581,189.83720930232556,192.68604651162792,27980.0,1493.3139534883721,199.32196165344746,43.12693144099805,54.543091256509896,PER_DIEM_wage_adj,2974.948803815966,estimated_allowed_amount_C,2013,max
0,MN,,,,,,,,,,,no_valid_method,2013,max
0,NC,,,,,,,,,,,no_valid_method,2013,max
0,ND,,,,,,,,,,,no_valid_method,2013,max
0,NE,,,,,,,,,,,no_valid_method,2013,max
0,NH,,,,,,,,,,,no_valid_method,2013,max
0,NJ,196.03,204.97,215.5,281263.0,2336.0,222.636256173048,150.71,126.92619874147,PER_DIEM,16110.259926959143,estimated_allowed_amount_C,2013,max
0,NJ,179.7558585048561,188.97052684311598,200.06683215581438,138795.0,2571.554381329811,205.61780039419534,125.83284628872005,114.4371826420046,PER_DIEM_wage_adj,13095.86877103952,estimated_allowed_amount_C,2013,max
0,NM,143.8,171.875,233.55,1148.0,556.45,187.2345731707317,68.81,64.50745723664538,PER_DIEM,4161.212039137632,estimated_allowed_amount_C,2013,max
0,NM,157.46526184767475,184.08604572587,250.68138303863049,1171.0,626.7034575965762,203.14582100642744,77.49746593084807,68.86404321269778,PER_DIEM_wage_adj,4742.256447600306,estimated_allowed_amount_C,2013,max
0,NV,,,,,,,,,,,no_valid_method,2013,max
0,NY,,,,,,,,,,,file_unavailable,2013,max
0,OH,155.33,171.61,183.74,480119.0,1405.0,178.4451547012303,90.65,99.56298614315546,PER_DIEM,9912.788209742164,estimated_allowed_amount_C,2013,max
0,OH,176.94214876033058,191.7545836320803,200.99623644011513,478572.0,2047.2096750692117,198.75490638680043,92.85055823005224,109.05088260065673,PER_DIEM_wage_adj,11892.09499598222,estimated_allowed_amount_C,2013,max
0,OK,138.29,141.0,144.73,157579.0,413.0,147.82127199690314,25.81,35.73867798371739,PER_DIEM,1277.2531040238462,estimated_allowed_amount_C,2013,max
0,OK,166.9215086646279,176.1395748863497,182.22046580582716,154218.0,530.6437106514197,181.74094077649025,30.24971623155505,43.66290471812576,PER_DIEM_wage_adj,1906.4492484241287,estimated_allowed_amount_C,2013,max
0,OR,212.13,256.48,273.03,33379.0,1182.5,272.3998879535037,76.29,125.21133803245118,PER_DIEM,15677.879171876755,estimated_allowed_amount_C,2013,max
0,OR,191.6433282139308,223.29473684210527,259.234986721494,32202.0,1244.7368421052631,249.09014646843258,65.35594962734515,115.01648870940606,PER_DIEM_wage_adj,13228.792675040933,estimated_allowed_amount_C,2013,max
0,PA,177.32,197.32,219.11,551985.0,2326.0,208.77983544842704,150.06,101.49240906557858,PER_DIEM,10300.709097934738,estimated_allowed_amount_C,2013,max
0,PA,200.01193317422437,218.08969132207335,246.02020699852142,553359.0,2973.2839064297586,235.38123178598818,133.70756482224004,116.24701524596175,PER_DIEM_wage_adj,13513.368553594863,estimated_allowed_amount_C,2013,max
0,RI,203.67249999999999,213.1,215.2625,4.0,221.75,205.835,175.39,20.702219687753296,PER_DIEM,428.5819000000002,estimated_allowed_amount_B,2013,max
