,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,year,filetype,method
0,FL,202.24,228.43,261.79,192886.0,916.8,219.03777609572495,0.0,115.80337260808875,PER_DIEM,13410.421107407841,2018,taf,allowed_amount
0,FL,221.95451474893042,252.92488366939952,282.9843561973526,172266.0,981.1643835616438,227.40645022987877,0.0,111.43909934986401,PER_DIEM_wage_adj,12418.672863908861,2018,taf,allowed_amount
0,GA,165.44,182.34,203.77,1045621.0,678.09,185.33516125823795,22.06,46.34431451610489,PER_DIEM,2147.7954879676504,2018,taf,allowed_amount
0,GA,198.23153312474494,209.8353965446878,236.3760032648619,16097.0,454.6928679400852,224.3176455848114,89.80986968596453,56.220772607143935,PER_DIEM_wage_adj,3160.775272544186,2018,taf,allowed_amount
0,HI,323.84,371.99,412.83,875.0,1890.12,392.32493714285715,219.78,108.20201645037059,PER_DIEM,11707.67636392627,2018,taf,allowed_amount
0,HI,254.23143350604488,315.26927304129373,324.09326424870466,701.0,1483.843617522374,319.07818316772574,239.33113518605748,100.15152084357686,PER_DIEM_wage_adj,10030.32712728141,2018,taf,allowed_amount
0,IA,173.38,203.03,424.9,13461.0,2662.33,282.7020622539187,82.26,163.64876598465682,PER_DIEM,26780.918608300974,2018,taf,allowed_amount
0,IA,199.45826213128936,228.62121072394547,508.49688846337955,13386.0,2823.85447602885,332.79330022817106,86.00104547830632,193.520852108557,PER_DIEM_wage_adj,37450.32020082199,2018,taf,allowed_amount
0,ID,249.0,270.97,310.23,54020.0,4200.0,303.7028772676786,36.56,133.01685988575457,PER_DIEM,17693.485013866466,2018,taf,allowed_amount
0,ID,286.9094599165633,333.92698130008904,396.52548820694903,51244.0,4735.59589581689,371.3464791303743,40.69456812110419,159.50853971468925,PER_DIEM_wage_adj,25442.974241912598,2018,taf,allowed_amount
0,IL,138.3,163.26,203.48,324157.0,4636.67,209.91030192159974,50.4,178.29305280955361,PER_DIEM,31788.41268015028,2018,taf,allowed_amount
0,IL,151.58698670898633,168.7349879903923,213.61960529169377,314691.0,3198.268258578036,221.02099568954935,47.78610031288518,185.0308915779919,PER_DIEM_wage_adj,34236.430838146596,2018,taf,allowed_amount
0,IN,192.16,200.03,219.86,830013.0,639.18,214.04452757968852,3.37,44.298137273899634,PER_DIEM,1962.3249659372561,2018,taf,allowed_amount
0,IN,203.26301261829653,224.67654669489534,248.14448292924294,799742.0,630.1064668769716,235.84989170224674,3.5276876373913955,52.642594617304674,PER_DIEM_wage_adj,2771.242768041875,2018,taf,allowed_amount
0,KS,187.65,234.0,462.5,15057.0,1170.0,321.8157089725709,75.48,160.05011937336502,PER_DIEM,25616.040711428395,2018,taf,allowed_amount
0,KS,225.24313810244217,280.57498057498054,542.6055426055426,14948.0,1515.1515151515152,388.0886709853121,87.76744186046513,193.6517462480989,PER_DIEM_wage_adj,37500.99882493809,2018,taf,allowed_amount
0,KY,177.4,193.79,210.52,253213.0,3264.49,209.48495890811296,38.14,86.36085120357669,PER_DIEM,7458.196620606313,2018,taf,allowed_amount
0,KY,219.93069410899926,232.13144099220048,248.86843114691214,247816.0,3759.2008291110087,255.59140715791304,40.05040428436417,104.83875754029461,PER_DIEM_wage_adj,10991.16508259268,2018,taf,allowed_amount
0,LA,142.42,158.77,176.83,314334.0,2422.56,180.63395331080952,87.89,134.14643510473672,PER_DIEM,17995.26605130934,2018,taf,allowed_amount
0,LA,181.07030683740032,205.00120802126116,226.32335329341316,292715.0,2901.2694610778444,232.58071461807458,101.24409630226933,172.23608155571608,PER_DIEM_wage_adj,29665.267789667287,2018,taf,allowed_amount
0,MA,183.08,212.27,240.72,367079.0,3985.67,237.7769577121001,1.44,153.48844889021407,PER_DIEM,23558.703942723856,2018,taf,allowed_amount
0,MA,160.26781533851485,189.68277945619334,215.2152060678059,377762.0,3092.063615205586,211.23003033508172,1.2249064307587614,131.18411755229403,PER_DIEM_wage_adj,17209.272697974095,2018,taf,allowed_amount
0,MD,239.805,255.09,272.23,215454.0,1705.12,264.70794540830065,62.82,91.86858718386429,PER_DIEM,8439.837311159274,2018,taf,allowed_amount
0,MD,249.39911448450349,265.9253529298008,283.521052631579,224383.0,1728.8046233397547,276.2417169246357,57.55909840571743,96.26221028450745,PER_DIEM_wage_adj,9266.413128858732,2018,taf,allowed_amount
0,ME,207.02,236.2,274.54,52274.0,3705.65,283.41932356429584,7.74,221.5459339106149,PER_DIEM,49082.60083232654,2018,taf,allowed_amount
