,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var
0,OR,246.9711853307138,259.192439862543,287.6346648870245,64421.0,1125.2119249452328,275.2215763873732,22.2822527832351,47.969982722294546,PER_DIEM_wage_adj,2301.1192423772372
0,PA,180.85,199.61,221.88,695304.0,1537.42,222.6946392800847,99.19,109.59561099806056,PER_DIEM,12011.197950038213
0,PA,191.44010767160162,215.84244532803183,241.84890656063618,696167.0,2105.1896480898263,238.14291580095832,88.99955136832659,119.55189274616835,PER_DIEM_wage_adj,14292.65505919134
0,RI,197.605,230.88,272.99,38298.0,1989.47,328.9159687189932,31.27,290.4651288570834,PER_DIEM,84369.99108196209
0,RI,456.0565708513179,502.15322388769926,590.768498691411,538.0,2366.7261479895315,578.5176379499081,28.717053907613188,352.5406749144362,PER_DIEM_wage_adj,124284.92746912615
0,SC,124.12,145.09,170.39,156643.0,2007.98,167.02959008701313,0.72,88.98786993806108,PER_DIEM,7918.840996113274
0,SC,145.76557912783866,169.1904137355431,199.72266666666667,142766.0,2202.9402084476137,194.9215997743092,0.768,105.53400678396282,PER_DIEM_wage_adj,11137.426587877511
0,SD,96.35,121.13,153.4,42145.0,814.97,148.36022137857398,25.54,99.26398033418832,PER_DIEM,9853.337791786125
0,SD,118.89637838455387,150.34705007436787,193.82381590161938,41914.0,992.2927066845245,189.13298343515888,31.09704127602581,128.32343042770188,PER_DIEM_wage_adj,16466.902796733248
0,TN,464.02,509.61,759.19,11094.0,3854.84,614.204442942131,248.7,324.22897345194934,PER_DIEM,105124.42722570489
0,TN,497.2999139414802,570.9816858150381,774.4622173193602,7199.0,5318.487858719647,653.8598840762309,267.53442340791736,315.8891900163257,PER_DIEM_wage_adj,99785.98036917031
0,TX,145.4,162.34,178.46,411647.0,5054.48,219.49446533073237,11.13,197.39564501990552,PER_DIEM,38965.04067282455
0,TX,160.18191005558361,182.57458449468362,209.6013612056393,364879.0,5880.037226617031,238.2301400953245,11.24810510358767,210.4655840679523,PER_DIEM_wage_adj,44295.762077064304
